METODO DE BISECCION - ITERACIONES

Informacion General
Funcion,0.1*x**2 - x*log10(x)
"Intervalo [a, b]","[1.0, 3.0]"
Tolerancia,0.01
Raiz encontrada,1.3671875
f(raiz),0.001217714205276832
Total de iteraciones,8

Iteracion,Aproximacion,f(x),Error Aproximado
1,2.0000000000,-0.2020599913,N/A
2,1.5000000000,-0.0391368886,0.5000000000
3,1.2500000000,0.0351124837,0.2500000000
4,1.3750000000,-0.0011037100,0.1250000000
5,1.3125000000,0.0172602779,0.0625000000
6,1.3437500000,0.0081384524,0.0312500000
7,1.3593750000,0.0035319572,0.0156250000
8,1.3671875000,0.0012177142,0.0078125000
